item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
code_generation_138,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.948262,0.935866,0.012396,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.948262,0.938492,0.009769,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.948262,0.955229,-0.006968,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.930535,0.920211,0.010324,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.930535,0.931956,-0.001421,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true,0.930535,0.907165,0.023371,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.930535,0.954183,-0.023647,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.930535,0.944784,-0.014249,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.945752,0.950111,-0.004359,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.945752,0.934771,0.010981,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true,0.945752,0.881702,0.064050,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.945752,0.909079,0.036674,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.945752,0.945939,-0.000187,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.911181,0.907371,0.003810,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.911181,0.912940,-0.001759,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.911181,0.899301,0.011880,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.911181,0.913145,-0.001964,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.911181,0.904935,0.006246,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962419,0.941295,0.021124,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962419,0.947601,0.014817,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962419,0.954966,0.007452,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962419,0.951078,0.011340,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.962419,0.941110,0.021308,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,context_injection,5,5,0.400000,0.000000,0.400000,1.000000,true,0.878920,0.883124,-0.004203,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,formatting_changes,5,5,0.400000,0.000000,0.400000,1.000000,true,0.878920,0.900714,-0.021793,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,paraphrasing,5,5,0.400000,0.400000,0.000000,0.000000,false,0.878920,0.880618,-0.001698,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,reordering,5,5,0.400000,0.200000,0.200000,0.500000,true,0.878920,0.859124,0.019797,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise,5,5,0.400000,0.000000,0.400000,1.000000,true,0.878920,0.886058,-0.007138,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,paraphrasing,5,5,1.000000,0.047059,0.952941,0.952941,true,1.000000,0.901844,0.098156,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,0.804998,0.195003,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.978590,0.975822,0.002768,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.978590,0.971533,0.007057,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.978590,0.882315,0.096274,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.978590,0.945601,0.032989,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.978590,0.976322,0.002268,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.998385,0.998869,-0.000483,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.998385,0.998708,-0.000323,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.998385,0.895484,0.102901,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.998385,0.999193,-0.000807,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.998385,0.996129,0.002257,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,paraphrasing,5,5,1.000000,0.820000,0.180000,0.180000,true,1.000000,0.844257,0.155743,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,0.974059,0.025941,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,context_injection,5,5,0.132835,0.154629,-0.021794,-0.164070,false,0.952329,0.949580,0.002749,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,formatting_changes,5,5,0.132835,0.175446,-0.042611,-0.320785,false,0.952329,0.912464,0.039865,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,paraphrasing,5,5,0.132835,0.042880,0.089954,0.677190,true,0.952329,0.874489,0.077840,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,reordering,5,5,0.132835,0.103889,0.028946,0.217911,true,0.952329,0.924451,0.027878,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise,5,5,0.132835,0.139997,-0.007162,-0.053920,false,0.952329,0.927965,0.024364,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,context_injection,5,5,0.685715,0.714286,-0.028571,-0.041667,false,0.996534,0.996534,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,formatting_changes,5,5,0.685715,0.704762,-0.019048,-0.027778,false,0.996534,0.996765,-0.000231,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,paraphrasing,5,5,0.685715,0.337255,0.348460,0.508171,true,0.996534,0.929660,0.066873,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,reordering,5,5,0.685715,0.714286,-0.028571,-0.041667,false,0.996534,0.996534,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise,5,5,0.685715,0.695238,-0.009524,-0.013889,false,0.996534,0.996996,-0.000462,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,context_injection,5,5,0.800000,1.000000,-0.200000,-0.250000,false,0.828729,0.838807,-0.010078,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,formatting_changes,5,5,0.800000,0.000000,0.800000,1.000000,true,0.828729,0.799936,0.028792,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,paraphrasing,5,5,0.800000,0.200000,0.600000,0.750000,true,0.828729,0.489419,0.339309,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,reordering,5,5,0.800000,1.000000,-0.200000,-0.250000,false,0.828729,0.777963,0.050765,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise,5,5,0.800000,0.800000,0.000000,0.000000,false,0.828729,0.869550,-0.040822,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.865765,0.864031,0.001734,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.865765,0.880546,-0.014781,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,paraphrasing,5,5,1.000000,0.800000,0.200000,0.200000,true,0.865765,0.814175,0.051590,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,reordering,5,5,1.000000,0.000000,1.000000,1.000000,true,0.865765,0.781894,0.083871,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.865765,0.880675,-0.014910,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,paraphrasing,5,5,1.000000,0.071947,0.928053,0.928053,true,1.000000,0.821894,0.178106,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,reordering,5,5,1.000000,0.823529,0.176471,0.176471,true,1.000000,0.995284,0.004716,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,1.000000,1.000000,0.000000,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896577,0.948289,-0.051711,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896577,0.688514,0.208064,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896577,0.937506,-0.040929,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896577,0.904906,-0.008329,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896577,0.931637,-0.035060,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.961172,0.967840,-0.006668,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.961172,0.962170,-0.000998,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.961172,0.954124,0.007047,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.961172,0.955667,0.005504,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.961172,0.960228,0.000943,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,context_injection,5,5,0.200000,0.600000,-0.400000,-2.000000,false,0.845066,0.771569,0.073496,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,formatting_changes,5,5,0.200000,0.600000,-0.400000,-2.000000,false,0.845066,0.784182,0.060884,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,paraphrasing,5,5,0.200000,0.000000,0.200000,1.000000,true,0.845066,0.824455,0.020610,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,reordering,5,5,0.200000,0.400000,-0.200000,-1.000000,false,0.845066,0.789492,0.055574,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise,5,5,0.200000,0.200000,0.000000,0.000000,false,0.845066,0.809959,0.035107,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,context_injection,5,5,0.800000,0.800000,0.000000,0.000000,false,0.906556,0.919154,-0.012598,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,formatting_changes,5,5,0.800000,0.200000,0.600000,0.750000,true,0.906556,0.916598,-0.010041,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,paraphrasing,5,5,0.800000,0.600000,0.200000,0.250000,true,0.906556,0.897126,0.009430,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,reordering,5,5,0.800000,0.400000,0.400000,0.500000,true,0.906556,0.913606,-0.007050,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise,5,5,0.800000,0.600000,0.200000,0.250000,true,0.906556,0.910037,-0.003480,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.891134,0.909181,-0.018047,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.891134,0.897979,-0.006845,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.891134,0.871801,0.019333,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.891134,0.911123,-0.019989,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.891134,0.902136,-0.011002,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,context_injection,5,5,0.000000,0.000000,0.000000,,false,0.848252,0.864813,-0.016561,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,formatting_changes,5,5,0.000000,0.000000,0.000000,,false,0.848252,0.875881,-0.027628,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,paraphrasing,5,5,0.000000,0.000000,0.000000,,false,0.848252,0.876508,-0.028255,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,reordering,5,5,0.000000,0.000000,0.000000,,false,0.848252,0.884533,-0.036281,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise,5,5,0.000000,0.000000,0.000000,,false,0.848252,0.899998,-0.051746,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.941622,0.950085,-0.008463,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.941622,0.948062,-0.006440,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.941622,0.923040,0.018581,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.941622,0.934663,0.006959,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.941622,0.944714,-0.003092,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.925710,0.930391,-0.004681,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.925710,0.931657,-0.005947,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.925710,0.935715,-0.010005,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.925710,0.927687,-0.001977,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.925710,0.928321,-0.002611,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896256,0.903955,-0.007699,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896256,0.906311,-0.010055,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896256,0.889259,0.006996,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,reordering,5,5,1.000000,0.800000,0.200000,0.200000,true,0.896256,0.903194,-0.006938,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.896256,0.905147,-0.008891,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.980003,0.961713,0.018290,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.980003,0.978689,0.001314,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.980003,0.967002,0.013001,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.980003,0.967356,0.012647,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.980003,0.980542,-0.000539,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,context_injection,5,5,1.000000,0.200000,0.800000,0.800000,true,0.939082,0.952248,-0.013167,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,formatting_changes,5,5,1.000000,0.800000,0.200000,0.200000,true,0.939082,0.944738,-0.005657,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true,0.939082,0.937596,0.001485,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,reordering,5,5,1.000000,0.800000,0.200000,0.200000,true,0.939082,0.952708,-0.013626,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939082,0.954126,-0.015045,sentence-transformers/all-MiniLM-L6-v2
