CMD: C:\Users\wenfeng.lin\AppData\Local\Programs\Python\Python313\python.exe D:\pioneer_kayley\Pioneer\src\11_generate_rq1b_perturbed_outputs_qwen.py
ENVS: API_KEY=set
Submitting 250 jobs with workers=1.
[62/250] code_generation_110 formatting_changes sample 2
[63/250] code_generation_110 formatting_changes sample 3
[64/250] code_generation_110 formatting_changes sample 4
[65/250] code_generation_110 formatting_changes sample 5
[66/250] code_generation_110 context_injection sample 1
[67/250] code_generation_110 context_injection sample 2
[68/250] code_generation_110 context_injection sample 3
[69/250] code_generation_110 context_injection sample 4
[70/250] code_generation_110 context_injection sample 5
[71/250] code_generation_110 surface_noise sample 1
[72/250] code_generation_110 surface_noise sample 2
[73/250] code_generation_110 surface_noise sample 3
[74/250] code_generation_110 surface_noise sample 4
[75/250] code_generation_110 surface_noise sample 5
[76/250] code_generation_153 paraphrasing sample 1
[77/250] code_generation_153 paraphrasing sample 2
[78/250] code_generation_153 paraphrasing sample 3
[79/250] code_generation_153 paraphrasing sample 4
[80/250] code_generation_153 paraphrasing sample 5
[81/250] code_generation_153 reordering sample 1
[82/250] code_generation_153 reordering sample 2
[83/250] code_generation_153 reordering sample 3
[84/250] code_generation_153 reordering sample 4
[85/250] code_generation_153 reordering sample 5
[86/250] code_generation_153 formatting_changes sample 1
[87/250] code_generation_153 formatting_changes sample 2
[88/250] code_generation_153 formatting_changes sample 3
[89/250] code_generation_153 formatting_changes sample 4
[90/250] code_generation_153 formatting_changes sample 5
[91/250] code_generation_153 context_injection sample 1
[92/250] code_generation_153 context_injection sample 2
[93/250] code_generation_153 context_injection sample 3
[94/250] code_generation_153 context_injection sample 4
[95/250] code_generation_153 context_injection sample 5
[96/250] code_generation_153 surface_noise sample 1
[97/250] code_generation_153 surface_noise sample 2
[98/250] code_generation_153 surface_noise sample 3
[99/250] code_generation_153 surface_noise sample 4
[100/250] code_generation_153 surface_noise sample 5
[101/250] code_generation_64 paraphrasing sample 1
[102/250] code_generation_64 paraphrasing sample 2
[103/250] code_generation_64 paraphrasing sample 3
[104/250] code_generation_64 paraphrasing sample 4
[105/250] code_generation_64 paraphrasing sample 5
[106/250] code_generation_64 reordering sample 1
[107/250] code_generation_64 reordering sample 2
[108/250] code_generation_64 reordering sample 3
[109/250] code_generation_64 reordering sample 4
[110/250] code_generation_64 reordering sample 5
[111/250] code_generation_64 formatting_changes sample 1
[112/250] code_generation_64 formatting_changes sample 2
[113/250] code_generation_64 formatting_changes sample 3
[114/250] code_generation_64 formatting_changes sample 4
[115/250] code_generation_64 formatting_changes sample 5
[116/250] code_generation_64 context_injection sample 1
[117/250] code_generation_64 context_injection sample 2
[118/250] code_generation_64 context_injection sample 3
[119/250] code_generation_64 context_injection sample 4
[120/250] code_generation_64 context_injection sample 5
[121/250] code_generation_64 surface_noise sample 1
[122/250] code_generation_64 surface_noise sample 2
[123/250] code_generation_64 surface_noise sample 3
[124/250] code_generation_64 surface_noise sample 4
[125/250] code_generation_64 surface_noise sample 5
[126/250] code_generation_122 paraphrasing sample 1
[127/250] code_generation_122 paraphrasing sample 2
[128/250] code_generation_122 paraphrasing sample 3
[129/250] code_generation_122 paraphrasing sample 4
[130/250] code_generation_122 paraphrasing sample 5
[131/250] code_generation_122 reordering sample 1
[132/250] code_generation_122 reordering sample 2
[133/250] code_generation_122 reordering sample 3
[134/250] code_generation_122 reordering sample 4
[135/250] code_generation_122 reordering sample 5
[136/250] code_generation_122 formatting_changes sample 1
[137/250] code_generation_122 formatting_changes sample 2
[138/250] code_generation_122 formatting_changes sample 3
[139/250] code_generation_122 formatting_changes sample 4
[140/250] code_generation_122 formatting_changes sample 5
[141/250] code_generation_122 context_injection sample 1
[142/250] code_generation_122 context_injection sample 2
[143/250] code_generation_122 context_injection sample 3
[144/250] code_generation_122 context_injection sample 4
[145/250] code_generation_122 context_injection sample 5
[146/250] code_generation_122 surface_noise sample 1
[147/250] code_generation_122 surface_noise sample 2
[148/250] code_generation_122 surface_noise sample 3
[149/250] code_generation_122 surface_noise sample 4
[150/250] code_generation_122 surface_noise sample 5
[151/250] code_generation_135 paraphrasing sample 1
[152/250] code_generation_135 paraphrasing sample 2
[153/250] code_generation_135 paraphrasing sample 3
[154/250] code_generation_135 paraphrasing sample 4
[155/250] code_generation_135 paraphrasing sample 5
[156/250] code_generation_135 reordering sample 1
[157/250] code_generation_135 reordering sample 2
[158/250] code_generation_135 reordering sample 3
[159/250] code_generation_135 reordering sample 4
[160/250] code_generation_135 reordering sample 5
[161/250] code_generation_135 formatting_changes sample 1
[162/250] code_generation_135 formatting_changes sample 2
[163/250] code_generation_135 formatting_changes sample 3
[164/250] code_generation_135 formatting_changes sample 4
[165/250] code_generation_135 formatting_changes sample 5
[166/250] code_generation_135 context_injection sample 1
[167/250] code_generation_135 context_injection sample 2
[168/250] code_generation_135 context_injection sample 3
[169/250] code_generation_135 context_injection sample 4
[170/250] code_generation_135 context_injection sample 5
[171/250] code_generation_135 surface_noise sample 1
[172/250] code_generation_135 surface_noise sample 2
[173/250] code_generation_135 surface_noise sample 3
[174/250] code_generation_135 surface_noise sample 4
[175/250] code_generation_135 surface_noise sample 5
[176/250] code_generation_34 paraphrasing sample 1
[177/250] code_generation_34 paraphrasing sample 2
[178/250] code_generation_34 paraphrasing sample 3
[179/250] code_generation_34 paraphrasing sample 4
[180/250] code_generation_34 paraphrasing sample 5
[181/250] code_generation_34 reordering sample 1
[182/250] code_generation_34 reordering sample 2
[183/250] code_generation_34 reordering sample 3
[184/250] code_generation_34 reordering sample 4
[185/250] code_generation_34 reordering sample 5
[186/250] code_generation_34 formatting_changes sample 1
[187/250] code_generation_34 formatting_changes sample 2
[188/250] code_generation_34 formatting_changes sample 3
[189/250] code_generation_34 formatting_changes sample 4
[190/250] code_generation_34 formatting_changes sample 5
[191/250] code_generation_34 context_injection sample 1
[192/250] code_generation_34 context_injection sample 2
[193/250] code_generation_34 context_injection sample 3
[194/250] code_generation_34 context_injection sample 4
[195/250] code_generation_34 context_injection sample 5
[196/250] code_generation_34 surface_noise sample 1
[197/250] code_generation_34 surface_noise sample 2
[198/250] code_generation_34 surface_noise sample 3
[199/250] code_generation_34 surface_noise sample 4
[200/250] code_generation_34 surface_noise sample 5
[201/250] code_generation_40 paraphrasing sample 1
[202/250] code_generation_40 paraphrasing sample 2
[203/250] code_generation_40 paraphrasing sample 3
[204/250] code_generation_40 paraphrasing sample 4
[205/250] code_generation_40 paraphrasing sample 5
[206/250] code_generation_40 reordering sample 1
[207/250] code_generation_40 reordering sample 2
[208/250] code_generation_40 reordering sample 3
[209/250] code_generation_40 reordering sample 4
[210/250] code_generation_40 reordering sample 5
[211/250] code_generation_40 formatting_changes sample 1
[212/250] code_generation_40 formatting_changes sample 2
[213/250] code_generation_40 formatting_changes sample 3
[214/250] code_generation_40 formatting_changes sample 4
[215/250] code_generation_40 formatting_changes sample 5
[216/250] code_generation_40 context_injection sample 1
[217/250] code_generation_40 context_injection sample 2
[218/250] code_generation_40 context_injection sample 3
[219/250] code_generation_40 context_injection sample 4
[220/250] code_generation_40 context_injection sample 5
[221/250] code_generation_40 surface_noise sample 1
[222/250] code_generation_40 surface_noise sample 2
[223/250] code_generation_40 surface_noise sample 3
[224/250] code_generation_40 surface_noise sample 4
[225/250] code_generation_40 surface_noise sample 5
[226/250] code_generation_83 paraphrasing sample 1
[227/250] code_generation_83 paraphrasing sample 2
[228/250] code_generation_83 paraphrasing sample 3
[229/250] code_generation_83 paraphrasing sample 4
[230/250] code_generation_83 paraphrasing sample 5
[231/250] code_generation_83 reordering sample 1
[232/250] code_generation_83 reordering sample 2
[233/250] code_generation_83 reordering sample 3
[234/250] code_generation_83 reordering sample 4
[235/250] code_generation_83 reordering sample 5
[236/250] code_generation_83 formatting_changes sample 1
[237/250] code_generation_83 formatting_changes sample 2
[238/250] code_generation_83 formatting_changes sample 3
[239/250] code_generation_83 formatting_changes sample 4
[240/250] code_generation_83 formatting_changes sample 5
[241/250] code_generation_83 context_injection sample 1
[242/250] code_generation_83 context_injection sample 2
[243/250] code_generation_83 context_injection sample 3
[244/250] code_generation_83 context_injection sample 4
[245/250] code_generation_83 context_injection sample 5
[246/250] code_generation_83 surface_noise sample 1
[247/250] code_generation_83 surface_noise sample 2
[248/250] code_generation_83 surface_noise sample 3
[249/250] code_generation_83 surface_noise sample 4
[250/250] code_generation_83 surface_noise sample 5
Output file now has 250 rows: D:\pioneer_kayley\Pioneer\tmp_parallel\output_11_code_generation_chunk5.csv
