CMD: C:\Users\wenfeng.lin\AppData\Local\Programs\Python\Python313\python.exe D:\pioneer_kayley\Pioneer\src\11_generate_rq1b_perturbed_outputs_qwen.py
ENVS: API_KEY=set
Found 43 existing rows in D:\pioneer_kayley\Pioneer\tmp_parallel\output_11_math_reasoning_chunk3.csv; resuming.
[1/250] math_reasoning_4880 paraphrasing sample 1 skipped
[2/250] math_reasoning_4880 paraphrasing sample 2 skipped
[3/250] math_reasoning_4880 paraphrasing sample 3 skipped
[4/250] math_reasoning_4880 paraphrasing sample 4 skipped
[5/250] math_reasoning_4880 paraphrasing sample 5 skipped
[6/250] math_reasoning_4880 reordering sample 1 skipped
[7/250] math_reasoning_4880 reordering sample 2 skipped
[8/250] math_reasoning_4880 reordering sample 3 skipped
[9/250] math_reasoning_4880 reordering sample 4 skipped
[10/250] math_reasoning_4880 reordering sample 5 skipped
[11/250] math_reasoning_4880 formatting_changes sample 1 skipped
[12/250] math_reasoning_4880 formatting_changes sample 2 skipped
[13/250] math_reasoning_4880 formatting_changes sample 3 skipped
[14/250] math_reasoning_4880 formatting_changes sample 4 skipped
[15/250] math_reasoning_4880 formatting_changes sample 5 skipped
[16/250] math_reasoning_4880 context_injection sample 1 skipped
[17/250] math_reasoning_4880 context_injection sample 2 skipped
[18/250] math_reasoning_4880 context_injection sample 3 skipped
[19/250] math_reasoning_4880 context_injection sample 4 skipped
[20/250] math_reasoning_4880 context_injection sample 5 skipped
[21/250] math_reasoning_4880 surface_noise sample 1 skipped
[22/250] math_reasoning_4880 surface_noise sample 2 skipped
[23/250] math_reasoning_4880 surface_noise sample 3 skipped
[24/250] math_reasoning_4880 surface_noise sample 4 skipped
[25/250] math_reasoning_4880 surface_noise sample 5 skipped
[26/250] math_reasoning_3374 paraphrasing sample 1 skipped
[27/250] math_reasoning_3374 paraphrasing sample 2 skipped
[28/250] math_reasoning_3374 paraphrasing sample 3 skipped
[29/250] math_reasoning_3374 paraphrasing sample 4 skipped
[30/250] math_reasoning_3374 paraphrasing sample 5 skipped
[31/250] math_reasoning_3374 reordering sample 1 skipped
[32/250] math_reasoning_3374 reordering sample 2 skipped
[33/250] math_reasoning_3374 reordering sample 3 skipped
[34/250] math_reasoning_3374 reordering sample 4 skipped
[35/250] math_reasoning_3374 reordering sample 5 skipped
[36/250] math_reasoning_3374 formatting_changes sample 1 skipped
[37/250] math_reasoning_3374 formatting_changes sample 2 skipped
[38/250] math_reasoning_3374 formatting_changes sample 3 skipped
[39/250] math_reasoning_3374 formatting_changes sample 4 skipped
[40/250] math_reasoning_3374 formatting_changes sample 5 skipped
[41/250] math_reasoning_3374 context_injection sample 1 skipped
[42/250] math_reasoning_3374 context_injection sample 2 skipped
[43/250] math_reasoning_3374 context_injection sample 3 skipped
Submitting 207 jobs with workers=1.
[149/250] math_reasoning_2652 surface_noise sample 4
[150/250] math_reasoning_2652 surface_noise sample 5
[151/250] math_reasoning_2832 paraphrasing sample 1
[152/250] math_reasoning_2832 paraphrasing sample 2
[153/250] math_reasoning_2832 paraphrasing sample 3
[154/250] math_reasoning_2832 paraphrasing sample 4
[155/250] math_reasoning_2832 paraphrasing sample 5
[156/250] math_reasoning_2832 reordering sample 1
[157/250] math_reasoning_2832 reordering sample 2
[158/250] math_reasoning_2832 reordering sample 3
[159/250] math_reasoning_2832 reordering sample 4
[160/250] math_reasoning_2832 reordering sample 5
[161/250] math_reasoning_2832 formatting_changes sample 1
[162/250] math_reasoning_2832 formatting_changes sample 2
[163/250] math_reasoning_2832 formatting_changes sample 3
[164/250] math_reasoning_2832 formatting_changes sample 4
[165/250] math_reasoning_2832 formatting_changes sample 5
[166/250] math_reasoning_2832 context_injection sample 1
[167/250] math_reasoning_2832 context_injection sample 2
[168/250] math_reasoning_2832 context_injection sample 3
[169/250] math_reasoning_2832 context_injection sample 4
[170/250] math_reasoning_2832 context_injection sample 5
[171/250] math_reasoning_2832 surface_noise sample 1
[172/250] math_reasoning_2832 surface_noise sample 2
[173/250] math_reasoning_2832 surface_noise sample 3
[174/250] math_reasoning_2832 surface_noise sample 4
[175/250] math_reasoning_2832 surface_noise sample 5
[176/250] math_reasoning_5912 paraphrasing sample 1
[177/250] math_reasoning_5912 paraphrasing sample 2
[178/250] math_reasoning_5912 paraphrasing sample 3
[179/250] math_reasoning_5912 paraphrasing sample 4
[180/250] math_reasoning_5912 paraphrasing sample 5
[181/250] math_reasoning_5912 reordering sample 1
[182/250] math_reasoning_5912 reordering sample 2
[183/250] math_reasoning_5912 reordering sample 3
[184/250] math_reasoning_5912 reordering sample 4
[185/250] math_reasoning_5912 reordering sample 5
[186/250] math_reasoning_5912 formatting_changes sample 1
[187/250] math_reasoning_5912 formatting_changes sample 2
[188/250] math_reasoning_5912 formatting_changes sample 3
[189/250] math_reasoning_5912 formatting_changes sample 4
[190/250] math_reasoning_5912 formatting_changes sample 5
[191/250] math_reasoning_5912 context_injection sample 1
[192/250] math_reasoning_5912 context_injection sample 2
[193/250] math_reasoning_5912 context_injection sample 3
[194/250] math_reasoning_5912 context_injection sample 4
[195/250] math_reasoning_5912 context_injection sample 5
[196/250] math_reasoning_5912 surface_noise sample 1
[197/250] math_reasoning_5912 surface_noise sample 2
[198/250] math_reasoning_5912 surface_noise sample 3
[199/250] math_reasoning_5912 surface_noise sample 4
[200/250] math_reasoning_5912 surface_noise sample 5
[201/250] math_reasoning_3251 paraphrasing sample 1
[202/250] math_reasoning_3251 paraphrasing sample 2
[203/250] math_reasoning_3251 paraphrasing sample 3
[204/250] math_reasoning_3251 paraphrasing sample 4
[205/250] math_reasoning_3251 paraphrasing sample 5
[206/250] math_reasoning_3251 reordering sample 1
[207/250] math_reasoning_3251 reordering sample 2
[208/250] math_reasoning_3251 reordering sample 3
[209/250] math_reasoning_3251 reordering sample 4
[210/250] math_reasoning_3251 reordering sample 5
[211/250] math_reasoning_3251 formatting_changes sample 1
[212/250] math_reasoning_3251 formatting_changes sample 2
[213/250] math_reasoning_3251 formatting_changes sample 3
[214/250] math_reasoning_3251 formatting_changes sample 4
[215/250] math_reasoning_3251 formatting_changes sample 5
[216/250] math_reasoning_3251 context_injection sample 1
[217/250] math_reasoning_3251 context_injection sample 2
[218/250] math_reasoning_3251 context_injection sample 3
[219/250] math_reasoning_3251 context_injection sample 4
[220/250] math_reasoning_3251 context_injection sample 5
[221/250] math_reasoning_3251 surface_noise sample 1
[222/250] math_reasoning_3251 surface_noise sample 2
[223/250] math_reasoning_3251 surface_noise sample 3
[224/250] math_reasoning_3251 surface_noise sample 4
[225/250] math_reasoning_3251 surface_noise sample 5
[226/250] math_reasoning_7372 paraphrasing sample 1
[227/250] math_reasoning_7372 paraphrasing sample 2
[228/250] math_reasoning_7372 paraphrasing sample 3
[229/250] math_reasoning_7372 paraphrasing sample 4
[230/250] math_reasoning_7372 paraphrasing sample 5
[231/250] math_reasoning_7372 reordering sample 1
[232/250] math_reasoning_7372 reordering sample 2
[233/250] math_reasoning_7372 reordering sample 3
[234/250] math_reasoning_7372 reordering sample 4
[235/250] math_reasoning_7372 reordering sample 5
[236/250] math_reasoning_7372 formatting_changes sample 1
[237/250] math_reasoning_7372 formatting_changes sample 2
[238/250] math_reasoning_7372 formatting_changes sample 3
[239/250] math_reasoning_7372 formatting_changes sample 4
[240/250] math_reasoning_7372 formatting_changes sample 5
[241/250] math_reasoning_7372 context_injection sample 1
[242/250] math_reasoning_7372 context_injection sample 2
[243/250] math_reasoning_7372 context_injection sample 3
[244/250] math_reasoning_7372 context_injection sample 4
[245/250] math_reasoning_7372 context_injection sample 5
[246/250] math_reasoning_7372 surface_noise sample 1
[247/250] math_reasoning_7372 surface_noise sample 2
[248/250] math_reasoning_7372 surface_noise sample 3
[249/250] math_reasoning_7372 surface_noise sample 4
[250/250] math_reasoning_7372 surface_noise sample 5
Output file now has 250 rows: D:\pioneer_kayley\Pioneer\tmp_parallel\output_11_math_reasoning_chunk3.csv
