item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens,original_mean_output_length_tokens,original_answer_token_f1,original_answer_containment,paraphrase_mean_output_length_tokens,paraphrase_answer_token_f1,paraphrase_answer_containment,output_length_delta_tokens,answer_token_f1_delta,answer_containment_delta
math_reasoning_2817,math_reasoning,paraphrasing,5,5,0.706089,0.711357,0.288643,-0.005268,sentence-transformers/all-MiniLM-L6-v2,0.7857142857142857,0.6470588235294118,0.8235294117647058,0.9090909090909091,1.0,2,222.0,0.013747761641207303,0.8,191.2,0.02046080818001609,1.0,-30.80000000000001,0.006713046538808786,0.19999999999999996
math_reasoning_2832,math_reasoning,paraphrasing,5,5,0.855927,0.83867,0.16133,0.017257,sentence-transformers/all-MiniLM-L6-v2,0.6428571428571429,0.375,0.75,0.8,0.6666666666666666,12,278.8,0.030254798505070363,0.0,216.2,0.02444056172484988,0.0,-62.60000000000002,-0.005814236780220482,0.0
math_reasoning_2873,math_reasoning,paraphrasing,5,5,0.605251,0.570807,0.429193,0.034444,sentence-transformers/all-MiniLM-L6-v2,0.5833333333333334,0.3684210526315789,0.7222222222222222,0.3,0.375,9,202.6,0.008696513298848945,0.8,123.0,0.0,1.0,-79.6,-0.008696513298848945,0.19999999999999996
math_reasoning_2891,math_reasoning,paraphrasing,5,5,0.799244,0.797956,0.202044,0.001289,sentence-transformers/all-MiniLM-L6-v2,0.9444444444444444,0.8947368421052632,0.9523809523809523,1.0,1.0,-2,53.2,0.0,0.0,41.0,0.0,0.2,-12.200000000000003,0.0,0.2
math_reasoning_3251,math_reasoning,paraphrasing,5,5,0.84283,0.850498,0.149502,-0.007668,sentence-transformers/all-MiniLM-L6-v2,0.7,0.3888888888888889,0.8125,1.0,1.0,9,51.2,0.04107172808560365,1.0,75.8,0.026803469108297083,1.0,24.599999999999994,-0.014268258977306568,0.0
math_reasoning_3336,math_reasoning,paraphrasing,5,5,0.852337,0.738375,0.261625,0.113962,sentence-transformers/all-MiniLM-L6-v2,0.8888888888888888,0.8275862068965517,0.9,1.0,1.0,-4,60.8,0.0,0.0,21.4,0.0,0.0,-39.4,0.0,0.0
math_reasoning_3374,math_reasoning,paraphrasing,5,5,0.623251,0.660709,0.339291,-0.037458,sentence-transformers/all-MiniLM-L6-v2,0.68,0.4473684210526316,0.7419354838709677,1.0,1.0,8,358.4,0.0,0.0,229.0,0.0,0.0,-129.39999999999998,0.0,0.0
math_reasoning_338,math_reasoning,paraphrasing,5,5,0.682184,0.545668,0.454332,0.136516,sentence-transformers/all-MiniLM-L6-v2,0.8666666666666667,0.8,0.8787878787878788,1.0,1.0,-10,117.0,0.0,0.0,203.0,0.0,0.0,86.0,0.0,0.0
math_reasoning_3402,math_reasoning,paraphrasing,5,5,0.800413,0.765757,0.234243,0.034656,sentence-transformers/all-MiniLM-L6-v2,0.75,0.5142857142857142,0.8,1.0,1.0,11,357.4,0.009733136955429728,1.0,265.4,0.008119485939792144,1.0,-92.0,-0.001613651015637584,0.0
math_reasoning_3715,math_reasoning,paraphrasing,5,5,0.948592,0.951655,0.048345,-0.003063,sentence-transformers/all-MiniLM-L6-v2,0.6363636363636364,0.30434782608695654,0.7647058823529411,1.0,1.0,6,49.8,0.04660819985020899,1.0,58.6,0.03640419689600018,1.0,8.800000000000004,-0.010204002954208813,0.0
math_reasoning_3886,math_reasoning,paraphrasing,5,5,0.703885,0.71831,0.28169,-0.014425,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.375,0.8,1.0,1.0,7,208.0,0.0,0.0,225.4,0.0,0.0,17.400000000000006,0.0,0.0
math_reasoning_4506,math_reasoning,paraphrasing,5,5,0.642607,0.513713,0.486287,0.128894,sentence-transformers/all-MiniLM-L6-v2,0.5238095238095238,0.44,0.5833333333333334,0.4444444444444444,0.0,-35,419.2,0.0,0.0,478.6,0.0,0.0,59.400000000000034,0.0,0.0
math_reasoning_4531,math_reasoning,paraphrasing,5,5,0.708758,0.72308,0.27692,-0.014322,sentence-transformers/all-MiniLM-L6-v2,0.6,0.46875,0.7,1.0,1.0,-12,83.2,0.036971288001888786,0.6,147.2,0.02317800262883852,0.4,63.999999999999986,-0.013793285373050267,-0.19999999999999996
math_reasoning_467,math_reasoning,paraphrasing,5,5,0.931601,0.74017,0.25983,0.191431,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.2857142857142857,0.8888888888888888,0.7,1.0,7,21.4,0.09267701863354036,1.0,55.2,0.025043967087494505,0.8,33.800000000000004,-0.06763305154604585,-0.19999999999999996
math_reasoning_4807,math_reasoning,paraphrasing,5,5,0.79245,0.721072,0.278928,0.071377,sentence-transformers/all-MiniLM-L6-v2,0.6842105263157895,0.38235294117647056,0.76,1.0,1.0,22,148.2,0.0,0.0,468.8,0.0,0.0,320.6,0.0,0.0
math_reasoning_4880,math_reasoning,paraphrasing,5,5,0.682176,0.668676,0.331324,0.0135,sentence-transformers/all-MiniLM-L6-v2,0.85,0.6071428571428571,0.8846153846153846,1.0,1.0,9,217.6,0.00701521770926735,0.0,259.0,0.005431138966462644,0.0,41.400000000000006,-0.0015840787428047067,0.0
math_reasoning_4896,math_reasoning,paraphrasing,5,5,0.807295,0.805618,0.194382,0.001677,sentence-transformers/all-MiniLM-L6-v2,0.8461538461538461,0.5,0.8947368421052632,1.0,1.0,8,84.2,0.0038461538461538455,0.2,117.6,0.0082675529705027,0.4,33.39999999999999,0.0044213991243488545,0.2
math_reasoning_4965,math_reasoning,paraphrasing,5,5,0.907505,0.897167,0.102833,0.010338,sentence-transformers/all-MiniLM-L6-v2,0.75,0.631578947368421,0.8571428571428571,1.0,1.0,2,88.8,0.019652661064425765,0.0,132.8,0.023866237122051076,0.4,44.000000000000014,0.004213576057625311,0.4
math_reasoning_5038,math_reasoning,paraphrasing,5,5,0.803867,0.819833,0.180167,-0.015966,sentence-transformers/all-MiniLM-L6-v2,0.3888888888888889,0.22580645161290322,0.5652173913043478,0.75,0.5,8,351.4,0.011590699472445991,1.0,420.4,0.006748396825471773,1.0,69.0,-0.004842302646974219,0.0
math_reasoning_5201,math_reasoning,paraphrasing,5,5,0.845727,0.723828,0.276172,0.1219,sentence-transformers/all-MiniLM-L6-v2,0.8095238095238095,0.4358974358974359,0.8518518518518519,1.0,1.0,23,277.8,0.002061855670103093,0.0,388.2,0.0,0.0,110.39999999999998,-0.002061855670103093,0.0
math_reasoning_5281,math_reasoning,paraphrasing,5,5,0.82592,0.82801,0.17199,-0.00209,sentence-transformers/all-MiniLM-L6-v2,0.42857142857142855,0.23076923076923078,0.6923076923076923,,,3,80.4,0.0035714285714285718,0.2,104.0,0.0,0.0,23.599999999999994,-0.0035714285714285718,-0.2
math_reasoning_5408,math_reasoning,paraphrasing,5,5,0.822857,0.76838,0.23162,0.054477,sentence-transformers/all-MiniLM-L6-v2,0.8571428571428571,0.6923076923076923,0.8888888888888888,1.0,1.0,6,171.6,0.02219979717892051,0.2,175.0,0.013403078626487269,0.0,3.4000000000000057,-0.008796718552433242,-0.2
math_reasoning_5497,math_reasoning,paraphrasing,5,5,0.894452,0.879577,0.120423,0.014875,sentence-transformers/all-MiniLM-L6-v2,0.8,0.42105263157894735,0.875,1.0,1.0,7,145.0,0.01414954650708132,1.0,157.4,0.01331213251559039,1.0,12.400000000000006,-0.0008374139914909297,0.0
math_reasoning_5594,math_reasoning,paraphrasing,5,5,0.905558,0.922416,0.077584,-0.016858,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.35714285714285715,0.8461538461538461,1.0,1.0,10,57.6,0.03991101368083465,1.0,71.8,0.02761971545498796,1.0,14.199999999999996,-0.012291298225846688,0.0
math_reasoning_5912,math_reasoning,paraphrasing,5,5,0.816797,0.798402,0.201598,0.018395,sentence-transformers/all-MiniLM-L6-v2,0.5,0.125,0.875,0.25,1.0,11,77.0,0.05424319026853728,1.0,55.0,0.0677560975609756,0.6,-22.0,0.013512907292438321,-0.4
math_reasoning_6164,math_reasoning,paraphrasing,5,5,0.789945,0.729047,0.270953,0.060899,sentence-transformers/all-MiniLM-L6-v2,0.7777777777777778,0.3684210526315789,0.8333333333333334,1.0,,30,95.2,0.0,0.0,217.4,0.0,0.0,122.2,0.0,0.0
math_reasoning_6746,math_reasoning,paraphrasing,5,5,0.855087,0.866741,0.133259,-0.011654,sentence-transformers/all-MiniLM-L6-v2,0.8333333333333334,0.5263157894736842,0.8888888888888888,1.0,1.0,15,120.8,0.022773323746672076,0.0,165.4,0.012076155235395555,0.0,44.60000000000001,-0.010697168511276521,0.0
math_reasoning_6807,math_reasoning,paraphrasing,5,5,0.861726,0.805772,0.194228,0.055954,sentence-transformers/all-MiniLM-L6-v2,1.0,0.4166666666666667,1.0,0.2857142857142857,1.0,16,50.6,0.0464625540138536,1.0,70.8,0.029128868204287606,1.0,20.199999999999996,-0.017333685809565996,0.0
math_reasoning_7372,math_reasoning,paraphrasing,5,5,0.827706,0.822271,0.177729,0.005435,sentence-transformers/all-MiniLM-L6-v2,0.75,0.391304347826087,0.8823529411764706,1.0,1.0,13,86.4,0.03177346667557594,0.2,96.4,0.012436974789915968,0.2,10.0,-0.019336491885659973,0.0
math_reasoning_7390,math_reasoning,paraphrasing,5,5,0.943988,0.916822,0.083178,0.027166,sentence-transformers/all-MiniLM-L6-v2,1.0,0.5,1.0,1.0,1.0,10,243.2,0.0,0.0,232.2,0.01038961038961039,0.0,-11.0,0.01038961038961039,0.0
math_reasoning_7546,math_reasoning,paraphrasing,5,5,0.721611,0.628523,0.371477,0.093087,sentence-transformers/all-MiniLM-L6-v2,0.7333333333333333,0.44,0.8095238095238095,1.0,1.0,13,51.2,0.07701960784313724,0.8,101.6,0.04392977278542019,0.8,50.39999999999999,-0.03308983505771705,0.0
math_reasoning_8004,math_reasoning,paraphrasing,5,5,0.891051,0.850261,0.149739,0.04079,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.47619047619047616,0.8421052631578947,1.0,1.0,9,108.2,0.037026243294185884,0.8,133.2,0.02371723514580657,0.4,24.999999999999986,-0.013309008148379313,-0.4
math_reasoning_9083,math_reasoning,paraphrasing,5,5,0.943323,0.939555,0.060445,0.003768,sentence-transformers/all-MiniLM-L6-v2,1.0,0.6,1.0,1.0,1.0,7,31.4,0.12156844810145225,1.0,57.8,0.06794943479020824,1.0,26.4,-0.05361901331124401,0.0
math_reasoning_9403,math_reasoning,paraphrasing,5,5,0.97106,0.799771,0.200229,0.171289,sentence-transformers/all-MiniLM-L6-v2,0.8888888888888888,0.5333333333333333,0.9333333333333333,1.0,1.0,2,59.0,0.03339999679502588,1.0,143.2,0.011459251602844549,0.8,84.19999999999999,-0.02194074519218133,-0.19999999999999996
math_reasoning_9599,math_reasoning,paraphrasing,5,5,0.863429,0.859048,0.140952,0.004382,sentence-transformers/all-MiniLM-L6-v2,0.8076923076923077,0.5,0.84375,1.0,1.0,30,229.0,0.0,0.0,342.2,0.0,0.0,113.19999999999999,0.0,0.0
math_reasoning_9765,math_reasoning,paraphrasing,5,5,0.985071,0.929934,0.070066,0.055137,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.4,0.8333333333333334,1.0,1.0,4,30.4,0.12478066301595714,1.0,32.0,0.11828465651995064,1.0,1.6000000000000014,-0.006496006496006498,0.0
