item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
factual_qa_11313,factual_qa,rajpurkar/squad_v2,5,10,0.990219,0.009781,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11559,factual_qa,rajpurkar/squad_v2,5,10,0.983021,0.016979,sentence-transformers/all-MiniLM-L6-v2
factual_qa_11773,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1292,factual_qa,rajpurkar/squad_v2,5,10,0.946665,0.053335,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1302,factual_qa,rajpurkar/squad_v2,5,10,0.958963,0.041037,sentence-transformers/all-MiniLM-L6-v2
factual_qa_1601,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2022,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,rajpurkar/squad_v2,5,10,0.969165,0.030835,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2682,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3095,factual_qa,rajpurkar/squad_v2,5,10,0.966503,0.033497,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3135,factual_qa,rajpurkar/squad_v2,5,10,0.803973,0.196027,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3339,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3740,factual_qa,rajpurkar/squad_v2,5,10,0.7307,0.2693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3976,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4277,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5271,factual_qa,rajpurkar/squad_v2,5,10,0.958135,0.041865,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5359,factual_qa,rajpurkar/squad_v2,5,10,0.98498,0.01502,sentence-transformers/all-MiniLM-L6-v2
factual_qa_5525,factual_qa,rajpurkar/squad_v2,5,10,0.928437,0.071563,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,rajpurkar/squad_v2,5,10,0.965182,0.034818,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6442,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6578,factual_qa,rajpurkar/squad_v2,5,10,0.985347,0.014653,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6819,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_684,factual_qa,rajpurkar/squad_v2,5,10,0.977508,0.022492,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7048,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7187,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_720,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,rajpurkar/squad_v2,5,10,0.99828,0.00172,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7699,factual_qa,rajpurkar/squad_v2,5,10,0.832208,0.167792,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7854,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7989,factual_qa,rajpurkar/squad_v2,5,10,0.937034,0.062966,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,rajpurkar/squad_v2,5,10,0.994537,0.005463,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8049,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8077,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8302,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8326,factual_qa,rajpurkar/squad_v2,5,10,0.982696,0.017304,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8989,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_919,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_9228,factual_qa,rajpurkar/squad_v2,5,10,0.967475,0.032525,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10051,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.96328,0.03672,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10521,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.878845,0.121155,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10586,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.880294,0.119706,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10682,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.913033,0.086967,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.900608,0.099392,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11055,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.914274,0.085726,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_1121,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.921835,0.078165,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.95337,0.04663,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.887306,0.112694,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_1600,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.935369,0.064631,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_1650,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.908111,0.091889,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_190,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.857033,0.142967,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2166,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.798839,0.201161,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2652,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.892254,0.107746,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2817,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.922418,0.077582,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2832,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.89245,0.10755,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.803911,0.196089,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2891,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.885329,0.114671,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3251,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.93076,0.06924,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3336,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.844807,0.155193,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3374,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.904423,0.095577,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_338,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.878823,0.121177,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3402,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.971715,0.028285,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3715,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.982261,0.017739,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.827403,0.172597,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4506,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.909147,0.090853,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4531,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.945822,0.054178,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_467,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.923196,0.076804,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.904344,0.095656,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4880,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.893092,0.106908,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.928767,0.071233,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4965,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.943003,0.056997,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.881967,0.118033,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5201,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.850411,0.149589,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5281,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.928095,0.071905,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5408,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.919385,0.080615,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.970711,0.029289,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5594,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.969496,0.030504,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5912,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.954542,0.045458,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_6164,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.904483,0.095517,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_6746,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.899257,0.100743,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_6807,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.980052,0.019948,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_7372,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.908151,0.091849,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_7390,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.9678,0.0322,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_7546,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.970414,0.029586,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.881796,0.118204,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_9083,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.941481,0.058519,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_9403,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.967979,0.032021,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_9599,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.902839,0.097161,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_9765,math_reasoning,nlile/hendrycks-MATH-benchmark,5,10,0.920808,0.079192,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,tatsu-lab/alpaca,5,10,0.927035,0.072965,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_1043,open_ended_writing,tatsu-lab/alpaca,5,10,0.994161,0.005839,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,tatsu-lab/alpaca,5,10,0.951472,0.048528,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_1105,open_ended_writing,tatsu-lab/alpaca,5,10,0.900872,0.099128,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,tatsu-lab/alpaca,5,10,0.953429,0.046571,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_12741,open_ended_writing,tatsu-lab/alpaca,5,10,0.980538,0.019462,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_1279,open_ended_writing,tatsu-lab/alpaca,5,10,0.954853,0.045147,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13047,open_ended_writing,tatsu-lab/alpaca,5,10,0.754864,0.245136,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_14306,open_ended_writing,tatsu-lab/alpaca,5,10,0.921208,0.078792,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,tatsu-lab/alpaca,5,10,0.848215,0.151785,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16598,open_ended_writing,tatsu-lab/alpaca,5,10,0.905956,0.094044,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_17839,open_ended_writing,tatsu-lab/alpaca,5,10,0.987537,0.012463,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_20111,open_ended_writing,tatsu-lab/alpaca,5,10,0.912754,0.087246,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_20944,open_ended_writing,tatsu-lab/alpaca,5,10,0.925994,0.074006,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_21063,open_ended_writing,tatsu-lab/alpaca,5,10,0.8971,0.1029,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_2378,open_ended_writing,tatsu-lab/alpaca,5,10,0.876991,0.123009,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_24950,open_ended_writing,tatsu-lab/alpaca,5,10,0.871021,0.128979,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_25984,open_ended_writing,tatsu-lab/alpaca,5,10,0.85413,0.14587,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_26882,open_ended_writing,tatsu-lab/alpaca,5,10,0.828091,0.171909,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_27838,open_ended_writing,tatsu-lab/alpaca,5,10,0.905249,0.094751,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_28407,open_ended_writing,tatsu-lab/alpaca,5,10,0.950463,0.049537,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_28710,open_ended_writing,tatsu-lab/alpaca,5,10,0.910439,0.089561,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_32192,open_ended_writing,tatsu-lab/alpaca,5,10,0.946004,0.053996,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_33075,open_ended_writing,tatsu-lab/alpaca,5,10,0.8999,0.1001,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_33898,open_ended_writing,tatsu-lab/alpaca,5,10,0.926312,0.073688,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,tatsu-lab/alpaca,5,10,0.947406,0.052594,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35012,open_ended_writing,tatsu-lab/alpaca,5,10,0.952225,0.047775,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,tatsu-lab/alpaca,5,10,0.864624,0.135376,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35625,open_ended_writing,tatsu-lab/alpaca,5,10,0.903655,0.096345,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35890,open_ended_writing,tatsu-lab/alpaca,5,10,0.839093,0.160907,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,tatsu-lab/alpaca,5,10,0.810285,0.189715,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_41294,open_ended_writing,tatsu-lab/alpaca,5,10,0.932515,0.067485,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_42563,open_ended_writing,tatsu-lab/alpaca,5,10,0.836218,0.163782,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_4286,open_ended_writing,tatsu-lab/alpaca,5,10,0.929428,0.070572,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_42931,open_ended_writing,tatsu-lab/alpaca,5,10,0.810897,0.189103,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_43335,open_ended_writing,tatsu-lab/alpaca,5,10,0.990498,0.009502,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_44324,open_ended_writing,tatsu-lab/alpaca,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45032,open_ended_writing,tatsu-lab/alpaca,5,10,0.979466,0.020534,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,tatsu-lab/alpaca,5,10,0.995492,0.004508,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_47449,open_ended_writing,tatsu-lab/alpaca,5,10,0.993627,0.006373,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_49476,open_ended_writing,tatsu-lab/alpaca,5,10,0.96415,0.03585,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_501,open_ended_writing,tatsu-lab/alpaca,5,10,0.912164,0.087836,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,tatsu-lab/alpaca,5,10,0.940014,0.059986,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_6480,open_ended_writing,tatsu-lab/alpaca,5,10,0.967978,0.032022,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_6859,open_ended_writing,tatsu-lab/alpaca,5,10,0.802255,0.197745,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_6968,open_ended_writing,tatsu-lab/alpaca,5,10,0.956085,0.043915,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_7032,open_ended_writing,tatsu-lab/alpaca,5,10,0.955968,0.044032,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_7384,open_ended_writing,tatsu-lab/alpaca,5,10,0.952512,0.047488,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_9613,open_ended_writing,tatsu-lab/alpaca,5,10,0.990376,0.009624,sentence-transformers/all-MiniLM-L6-v2
